
---------- Begin Simulation Statistics ----------
simSeconds                                   0.048072                       # Number of seconds simulated (Second)
simTicks                                  48071764000                       # Number of ticks simulated (Tick)
finalTick                                11997222411500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1005.94                       # Real time elapsed on the host (Second)
hostTickRate                                 47787914                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9899644                       # Number of bytes of host memory used (Byte)
simInsts                                    200000004                       # Number of instructions simulated (Count)
simOps                                      302359584                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   198819                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     300574                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         96143528                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.480718                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.080223                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       226480357                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4383                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      226439695                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    709                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               258433                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            316828                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 624                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            95738351                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.365193                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.680542                       # Number of insts issued each cycle (Count)
system.mem_ctrls1.dram.bwWrite::ruby.dir_cntrl0    349870248                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwWrite::total       349870248                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwTotal::ruby.dir_cntrl0    726436583                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwTotal::total       726436583                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls1.dram.readBursts              282830                       # Number of DRAM read bursts (Count)
system.mem_ctrls1.dram.writeBursts             262794                       # Number of DRAM write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::0        17182                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::1        17284                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::2        17473                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::3        17329                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::4        17659                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::5        17430                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::6        17287                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::7        17484                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::8        18001                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::9        18245                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::10        17896                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::11        17862                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::12        17845                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::13        18054                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::14        17978                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::15        17821                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::0        16015                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::1        16124                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::2        16303                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::3        16230                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::4        16410                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::5        16248                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::6        16136                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::7        16326                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::8        16330                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::9        16210                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::10        16496                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::11        16739                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::12        16672                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::13        17026                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::14        16889                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::15        16640                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.totQLat             6242864250                       # Total ticks spent queuing (Tick)
system.mem_ctrls1.dram.totBusLat           1414150000                       # Total ticks spent in databus transfers (Tick)
system.mem_ctrls1.dram.totMemAccLat       11545926750                       # Total ticks spent from burst creation until serviced by the DRAM (Tick)
system.mem_ctrls1.dram.avgQLat               22072.85                       # Average queueing delay per DRAM burst ((Tick/Count))
system.mem_ctrls1.dram.avgBusLat              5000.00                       # Average bus latency per DRAM burst ((Tick/Count))
system.mem_ctrls1.dram.avgMemAccLat          40822.85                       # Average memory access latency per DRAM burst ((Tick/Count))
system.mem_ctrls1.dram.readRowHits             126669                       # Number of row buffer hits during reads (Count)
system.mem_ctrls1.dram.writeRowHits            172550                       # Number of row buffer hits during writes (Count)
system.mem_ctrls1.dram.readRowHitRate           44.79                       # Row buffer hit rate for reads (Ratio)
system.mem_ctrls1.dram.writeRowHitRate          65.66                       # Row buffer hit rate for writes (Ratio)
system.mem_ctrls1.dram.bytesPerActivate::samples       246405                       # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::mean   141.718683                       # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::gmean    93.370501                       # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::stdev   209.678633                       # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::0-127       175182     71.10%     71.10% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::128-255        46617     18.92%     90.01% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::256-383         6857      2.78%     92.80% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::384-511         2284      0.93%     93.72% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::512-639         1683      0.68%     94.41% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::640-767         1562      0.63%     95.04% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::768-895         1527      0.62%     95.66% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::896-1023         1778      0.72%     96.38% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::1024-1151         8915      3.62%    100.00% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::total       246405                       # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesRead             18101120                       # Total bytes read (Byte)
system.mem_ctrls1.dram.bytesWritten          16818816                       # Total bytes written (Byte)
system.mem_ctrls1.dram.avgRdBW             376.543702                       # Average DRAM read bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrls1.dram.avgWrBW             349.868917                       # Average DRAM write bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrls1.dram.peakBW                12800.00                       # Theoretical peak bandwidth in MiByte/s ((Byte/Second))
system.mem_ctrls1.dram.busUtil                   5.68                       # Data bus utilization in percentage (Ratio)
system.mem_ctrls1.dram.busUtilRead               2.94                       # Data bus utilization in percentage for reads (Ratio)
system.mem_ctrls1.dram.busUtilWrite              2.73                       # Data bus utilization in percentage for writes (Ratio)
system.mem_ctrls1.dram.pageHitRate              54.84                       # Row buffer hit rate, read and write combined (Ratio)
system.mem_ctrls1.dram.power_state.pwrStateResidencyTicks::UNDEFINED 9678824927500                       # Cumulative time (in ticks) in various power states (Tick)
system.mem_ctrls1.dram.rank0.actEnergy      868309680                       # Energy for activate commands per rank (pJ) (Joule)
system.mem_ctrls1.dram.rank0.preEnergy      461513745                       # Energy for precharge commands per rank (pJ) (Joule)
system.mem_ctrls1.dram.rank0.readEnergy     993381060                       # Energy for read commands per rank (pJ) (Joule)
system.mem_ctrls1.dram.rank0.writeEnergy    677514240                       # Energy for write commands per rank (pJ) (Joule)
system.mem_ctrls1.dram.rank0.refreshEnergy 3794787360.000000                       # Energy for refresh commands per rank (pJ) (Joule)
system.mem_ctrls1.dram.rank0.actBackEnergy  17457799260                       # Energy for active background per rank (pJ) (Joule)
system.mem_ctrls1.dram.rank0.preBackEnergy   3758412000                       # Energy for precharge background per rank (pJ) (Joule)
system.mem_ctrls1.dram.rank0.actPowerDownEnergy            0                       # Energy for active power-down per rank (pJ) (Joule)
system.mem_ctrls1.dram.rank0.prePowerDownEnergy            0                       # Energy for precharge power-down per rank (pJ) (Joule)
